n,p,reg_method,seed,oracle_stat,oracle_pval,oracle_reject,est_stat,est_pval,est_reject,f_mse,f_rmse,f_r2,f_cor,g_mse,g_rmse,g_r2,g_cor,stat_difference
200,5,linear,2077,-0.126633919435658,0.899230149221744,0,-0.16649481590731,0.867767562542047,0,0.0560923495579646,0.236838235000104,0.974953170299889,0.995506556487684,0.00739130416080945,0.0859726942744582,0.720310126978621,0.947262613234928,0.0398608964716526
200,5,linear,2078,0.0993289303492643,0.920877108897283,0,0.048149036778698,0.961597465799272,0,0.0315054585295567,0.177497770491792,0.984845857244799,0.994785974380373,0.00691238143689411,0.0831407327180493,0.720105723572713,0.870766765053197,0.0511798935705663
200,5,linear,2079,-0.197607367557734,0.843352269998672,0,-0.164331045990852,0.869470542734806,0,0.0261720312005056,0.161777721582749,0.987947954704124,0.99977066509358,0.00390624744266284,0.0624999795412994,0.839851900570955,0.917095954764463,0.0332763215668818
200,5,linear,2080,0.819973694490225,0.412231103386791,0,0.995748431015796,0.319372392128446,0,0.0134494919810432,0.115971944801504,0.994662903259721,0.997720534632045,0.00549507844566961,0.0741287963322595,0.806351504344625,0.975781017270748,0.175774736525571
200,5,linear,2081,-0.69494498079849,0.487089782182499,0,-1.03314017106323,0.301538306555357,0,0.0228750257190666,0.151244919647129,0.988655059010749,0.996442963851462,0.0110348629639913,0.105046955995837,0.512964522419998,0.939396174334875,0.338195190264737
200,5,linear,2082,-0.873683914143908,0.382290413446193,0,-0.9143728400744,0.3605209681319,0,0.0148986540324704,0.122060042735001,0.99300559701693,0.99688913579094,0.00211943366846671,0.0460373073546521,0.909325146527743,0.97566042647912,0.0406889259304926
200,5,linear,2083,-1.19260401915073,0.233024491059246,0,-1.72532384357747,0.0844691272955847,0,0.0389505273053661,0.197358879469271,0.981830543100044,0.991317439710141,0.00828136914265935,0.0910020282337672,0.675939105716297,0.82305370539633,0.532719824426739
200,5,linear,2084,0.0833057330259918,0.933608441846901,0,-0.229665690338766,0.818351557418192,0,0.0255046754738208,0.159701833032125,0.989731773435223,0.995188958789786,0.00946307328888707,0.0972783289786942,0.657128285006497,0.838934480685387,0.312971423364758
200,5,linear,2085,1.382531199318,0.166808657631694,0,1.40645846947617,0.159588028564328,0,0.0152288797552545,0.123405347352757,0.994206934464588,0.998396233936793,0.0132266806656802,0.115007307009947,0.545776125246919,0.929399997783624,0.0239272701581645
200,5,linear,2086,-0.172556467186315,0.863000072641721,0,-0.213888102189943,0.830634318619486,0,0.0653036047531673,0.255545699930888,0.973690411132667,0.990258867374658,0.00883364194205901,0.0939874563016736,0.678132488635169,0.933574639240153,0.0413316350036282
200,5,linear,2087,-1.16130998223665,0.245515861478457,0,-1.31019814369762,0.190128813560398,0,0.0311449474109166,0.176479311566304,0.986673178903116,0.994669521440755,0.00429309874734799,0.0655217425542697,0.837009558597521,0.972767489293067,0.148888161460969
200,5,linear,2088,0.797442912017384,0.425193845524752,0,0.743720743857347,0.457045437124667,0,0.0255204711141654,0.159751278912456,0.987588060952363,0.997248812667006,0.00700709797461084,0.0837084104174177,0.706229608008093,0.938251438525488,0.0537221681600376
200,5,linear,2089,-1.27395091337948,0.202680813008824,0,-1.14851389369745,0.250756480755151,0,0.0333941331279806,0.182740617072343,0.981612941840758,0.995977819606586,0.00188288699651178,0.0433922458108794,0.911806277249626,0.957462867724724,0.12543701968203
200,5,linear,2090,1.79205390983834,0.073124330858228,0,1.89287262433401,0.0583748106142706,0,0.0090066959121779,0.0949036137993591,0.996172034348786,0.9993087324757,0.00261337955465672,0.0511212241114855,0.904851955270277,0.97458394492353,0.100818714495664
200,5,linear,2091,1.72147967721999,0.0851638168718159,0,1.61945701884936,0.105348967165844,0,0.0209824609345276,0.144853239295943,0.9893355144807,0.999188087405743,0.00358216058414517,0.0598511535740555,0.840746694505451,0.98378336322502,0.102022658370631
200,5,linear,2092,0.142095982905293,0.887004191158409,0,0.130464784929757,0.896198713529145,0,0.0270236403484611,0.164388686801924,0.987071682312303,0.997616164076751,0.00825781908161135,0.0908725430568076,0.648257775555462,0.941287331777127,0.0116311979755352
