test_name,n,h_label,estimator,bandwidth,rejection_rate
LinearMMD_test,2000,Alternative,KLR,0.5,0.092
LinearMMD_test,2000,Alternative,KLR,1,0.102
LinearMMD_test,2000,Alternative,KLR,median,0.052
LinearMMD_test,2000,Alternative,KLR,5,0.104
LinearMMD_test,2000,Alternative,KLR,10,0.11
CV_LinearMMD_test,2000,Alternative,LL,0.1,0.07
CV_LinearMMD_test,2000,Alternative,LL,0.5,0.164
CV_LinearMMD_test,2000,Alternative,LL,1,0.164
CV_LinearMMD_test,2000,Alternative,LL,median,0.11
CV_LinearMMD_test,2000,Alternative,LL,5,0.0820000000000001
CV_LinearMMD_test,2000,Alternative,LL,10,0.054
CV_LinearMMD_test,2000,Alternative,KLR,0.1,0.072
CV_LinearMMD_test,2000,Alternative,KLR,0.5,0.152
CV_LinearMMD_test,2000,Alternative,KLR,1,0.156
CV_LinearMMD_test,2000,Alternative,KLR,median,0.094
CV_LinearMMD_test,2000,Alternative,KLR,5,0.166
CV_LinearMMD_test,2000,Alternative,KLR,10,0.166
LinearMMD_test,2000,Null,LL,0.1,0.034
LinearMMD_test,2000,Null,LL,0.5,0.05
LinearMMD_test,2000,Null,LL,1,0.044
LinearMMD_test,2000,Null,LL,median,0.034
LinearMMD_test,2000,Null,LL,5,0.036
LinearMMD_test,2000,Null,LL,10,0.0380000000000001
LinearMMD_test,2000,Null,KLR,0.1,0.042
LinearMMD_test,2000,Null,KLR,0.5,0.064
LinearMMD_test,2000,Null,KLR,1,0.06
LinearMMD_test,2000,Null,KLR,median,0.042
LinearMMD_test,2000,Null,KLR,5,0.072
LinearMMD_test,2000,Null,KLR,10,0.072
CV_LinearMMD_test,2000,Null,LL,0.1,0.032
CV_LinearMMD_test,2000,Null,LL,0.5,0.076
CV_LinearMMD_test,2000,Null,LL,1,0.072
CV_LinearMMD_test,2000,Null,LL,median,0.044
CV_LinearMMD_test,2000,Null,LL,5,0.0620000000000001
CV_LinearMMD_test,2000,Null,LL,10,0.06
CV_LinearMMD_test,2000,Null,KLR,0.1,0.036
CV_LinearMMD_test,2000,Null,KLR,0.5,0.072
CV_LinearMMD_test,2000,Null,KLR,1,0.076
CV_LinearMMD_test,2000,Null,KLR,median,0.044
CV_LinearMMD_test,2000,Null,KLR,5,0.078
CV_LinearMMD_test,2000,Null,KLR,10,0.076
