test_type,test_name,n,h_label,estimator,rejection_rate,avg_time_sec
CIT,RCIT_test,1200,Alternative,lm,0.89,0.0819532799720764
CIT,RCIT_test,1200,Alternative,ranger,0.89,0.0746181917190552
CIT,PCM_test,1200,Alternative,lm,0.01,0.0189799928665161
CIT,PCM_test,1200,Alternative,ranger,0.36,0.391478021144867
CIT,GCM_test,1200,Alternative,lm,0.99,0.0110478401184082
CIT,GCM_test,1200,Alternative,ranger,0.99,0.262516129016876
CIT,WGSC_test,1200,Alternative,lm,0.01,0.103393123149872
CIT,WGSC_test,1200,Alternative,ranger,0,2.54543686628342
DRT,LinearMMD_test,1600,Null,LL,0.06,0.0234619355201721
DRT,LinearMMD_test,1600,Null,KLR,0.06,3.71528151512146
DRT,CV_LinearMMD_test,1600,Null,LL,0.05,0.0448898506164551
DRT,CV_LinearMMD_test,1600,Null,KLR,0.06,7.45604606151581
DRT,CLF_test,1600,Null,LL,0.05,0.0266338109970093
DRT,CLF_test,1600,Null,KLR,0.03,5.26540303468704
DRT,CV_CLF_test,1600,Null,LL,0.07,0.0514669322967529
DRT,CV_CLF_test,1600,Null,KLR,0.06,10.6407142829895
DRT,CP_test,1600,Null,LL,0.11,0.0478063988685608
DRT,CP_test,1600,Null,KLR,0.06,3.74536859512329
DRT,debiased_test,1600,Null,LL,0.05,3.52362232923508
DRT,debiased_test,1600,Null,KLR,0.01,8.85757371664047
DRT,BlockMMD_test,1600,Null,LL,0.05,0.204507007598877
DRT,BlockMMD_test,1600,Null,KLR,0.02,3.77568767547607
DRT,CV_BlockMMD_test,1600,Null,LL,0.08,0.372757954597473
DRT,CV_BlockMMD_test,1600,Null,KLR,0.08,6.85553643465042
DRT,bootstrap_MMD_test,1600,Null,LL,0.19,13.9832909202576
DRT,bootstrap_MMD_test,1600,Null,KLR,0,16.6006102585793
CIT,RCIT_test,1600,Null,lm,0.04,0.0812913513183594
CIT,RCIT_test,1600,Null,ranger,0.04,0.0798374509811401
CIT,PCM_test,1600,Null,lm,0.03,0.0213492798805237
CIT,PCM_test,1600,Null,ranger,0.09,0.605561299324036
CIT,GCM_test,1600,Null,lm,0.08,0.0173952555656433
CIT,GCM_test,1600,Null,ranger,0.05,0.499837310314178
CIT,WGSC_test,1600,Null,lm,0.08,0.164558167457581
CIT,WGSC_test,1600,Null,ranger,0,4.75538323879242
DRT,LinearMMD_test,1600,Alternative,LL,0.15,0.0292222571372986
DRT,LinearMMD_test,1600,Alternative,KLR,0.16,3.5607881975174
DRT,CV_LinearMMD_test,1600,Alternative,LL,0.13,0.0427301168441772
DRT,CV_LinearMMD_test,1600,Alternative,KLR,0.14,6.55653204917908
DRT,CLF_test,1600,Alternative,LL,0.45,0.0251103115081787
DRT,CLF_test,1600,Alternative,KLR,0.4,4.64727726459503
DRT,CV_CLF_test,1600,Alternative,LL,0.74,0.0481713843345642
DRT,CV_CLF_test,1600,Alternative,KLR,0.73,9.3392320728302
DRT,CP_test,1600,Alternative,LL,0.87,0.0439468193054199
DRT,CP_test,1600,Alternative,KLR,0.96,3.34878486633301
DRT,debiased_test,1600,Alternative,LL,0.8,3.11969120740891
DRT,debiased_test,1600,Alternative,KLR,0.97,7.9925265288353
DRT,BlockMMD_test,1600,Alternative,LL,0.37,0.186081326007843
DRT,BlockMMD_test,1600,Alternative,KLR,0.36,3.24711055755615
DRT,CV_BlockMMD_test,1600,Alternative,LL,0.6,0.348334498405457
DRT,CV_BlockMMD_test,1600,Alternative,KLR,0.68,6.49538281440735
DRT,bootstrap_MMD_test,1600,Alternative,LL,0.95,13.7510767459869
DRT,bootstrap_MMD_test,1600,Alternative,KLR,0.96,18.3218369078636
CIT,RCIT_test,1600,Alternative,lm,0.96,0.0980749011039734
CIT,RCIT_test,1600,Alternative,ranger,0.96,0.0993410301208496
CIT,PCM_test,1600,Alternative,lm,0,0.0249164438247681
CIT,PCM_test,1600,Alternative,ranger,0.48,0.699858798980713
CIT,GCM_test,1600,Alternative,lm,1,0.0166675066947937
CIT,GCM_test,1600,Alternative,ranger,1,0.460129673480988
CIT,WGSC_test,1600,Alternative,lm,0,0.15872611284256
CIT,WGSC_test,1600,Alternative,ranger,0.02,4.27915161132812
DRT,LinearMMD_test,2000,Null,LL,0.05,0.0324044752120972
DRT,LinearMMD_test,2000,Null,KLR,0.06,6.60599945545197
DRT,CV_LinearMMD_test,2000,Null,LL,0.09,0.0436266088485718
DRT,CV_LinearMMD_test,2000,Null,KLR,0.08,11.1378802347183
DRT,CLF_test,2000,Null,LL,0.08,0.0261669278144836
DRT,CLF_test,2000,Null,KLR,0.07,8.71635249376297
DRT,CV_CLF_test,2000,Null,LL,0.05,0.0540693545341492
DRT,CV_CLF_test,2000,Null,KLR,0.06,16.2511548185349
DRT,CP_test,2000,Null,LL,0.1,0.0492888307571411
DRT,CP_test,2000,Null,KLR,0.02,6.56148824930191
DRT,debiased_test,2000,Null,LL,0.03,7.69346182584763
DRT,debiased_test,2000,Null,KLR,0.03,13.3349300932884
DRT,BlockMMD_test,2000,Null,LL,0.04,0.248720242977142
DRT,BlockMMD_test,2000,Null,KLR,0.04,5.8332706785202
DRT,CV_BlockMMD_test,2000,Null,LL,0.06,0.474410436153412
DRT,CV_BlockMMD_test,2000,Null,KLR,0.06,11.6148457717896
DRT,bootstrap_MMD_test,2000,Null,LL,0.2,20.0811503839493
DRT,bootstrap_MMD_test,2000,Null,KLR,0.05,24.1885302948952
CIT,RCIT_test,2000,Null,lm,0.03,0.089879310131073
CIT,RCIT_test,2000,Null,ranger,0.03,0.0905975580215454
CIT,PCM_test,2000,Null,lm,0.01,0.0226090502738953
CIT,PCM_test,2000,Null,ranger,0.07,0.682182121276856
CIT,GCM_test,2000,Null,lm,0.01,0.0151462507247925
CIT,GCM_test,2000,Null,ranger,0.04,0.467368948459625
CIT,WGSC_test,2000,Null,lm,0.06,0.153174040317535
CIT,WGSC_test,2000,Null,ranger,0,4.32459497451782
DRT,LinearMMD_test,2000,Alternative,LL,0.12,0.0241863226890564
DRT,LinearMMD_test,2000,Alternative,KLR,0.1,5.51418724298477
DRT,CV_LinearMMD_test,2000,Alternative,LL,0.14,0.0455171251296997
DRT,CV_LinearMMD_test,2000,Alternative,KLR,0.11,10.9745139980316
DRT,CLF_test,2000,Alternative,LL,0.49,0.0273600363731384
DRT,CLF_test,2000,Alternative,KLR,0.42,7.88589974880219
DRT,CV_CLF_test,2000,Alternative,LL,0.7,0.0514403510093689
DRT,CV_CLF_test,2000,Alternative,KLR,0.64,16.4799986076355
DRT,CP_test,2000,Alternative,LL,0.89,0.0506042838096619
DRT,CP_test,2000,Alternative,KLR,0.98,5.79640972852707
DRT,debiased_test,2000,Alternative,LL,0.82,4.95678701400757
DRT,debiased_test,2000,Alternative,KLR,0.94,14.2558133888245
DRT,BlockMMD_test,2000,Alternative,LL,0.48,0.349067060947418
DRT,BlockMMD_test,2000,Alternative,KLR,0.42,7.15480455160141
DRT,CV_BlockMMD_test,2000,Alternative,LL,0.63,0.492387490272522
DRT,CV_BlockMMD_test,2000,Alternative,KLR,0.8,10.9317971897125
DRT,bootstrap_MMD_test,2000,Alternative,LL,0.98,19.644986102581
DRT,bootstrap_MMD_test,2000,Alternative,KLR,1,23.4562175416946
CIT,RCIT_test,2000,Alternative,lm,0.98,0.0939939117431641
CIT,RCIT_test,2000,Alternative,ranger,0.98,0.0913808131217957
CIT,PCM_test,2000,Alternative,lm,0.05,0.0236340498924255
CIT,PCM_test,2000,Alternative,ranger,0.55,0.647780959606171
CIT,GCM_test,2000,Alternative,lm,1,0.0154064607620239
CIT,GCM_test,2000,Alternative,ranger,1,0.449145557880402
CIT,WGSC_test,2000,Alternative,lm,0,0.175156006813049
CIT,WGSC_test,2000,Alternative,ranger,0.02,4.20787455797195
