hypothesis,prop,test,statistic,pvalue,rejection,block_size,sim
null,0.1,LinearMMD_test,-0.367985771553715,0.643558078194026,0,,39
null,0.1,CLF_test,-0.45598044347298,0.675797979343302,0,,39
null,0.1,CP_test,-1.92918725849412,0.0268538096893527,1,,39
null,0.1,debiased_test,6.76917682607248,6.47581988033608e-12,1,,39
null,0.1,bootstrap_MMD_test,,,1,,39
null,0.1,BlockMMD_test,2.44304032534143,0.0072820549153354,1,42,39
null,0.1,LinearMMD_test,0.349059525699066,0.363522310763651,0,,40
null,0.1,CLF_test,-0.93923928953112,0.826196049509926,0,,40
null,0.1,CP_test,-3.36120133090702,0.000388021178405335,1,,40
null,0.1,debiased_test,7.4689952626412,4.04121180963557e-14,1,,40
null,0.1,bootstrap_MMD_test,,,1,,40
null,0.1,BlockMMD_test,4.42005381087607,4.93381634192325e-06,1,42,40
null,0.1,LinearMMD_test,-1.9008191838287,0.971337149783383,0,,41
null,0.1,CLF_test,-0.686403721298542,0.753770720753439,0,,41
null,0.1,CP_test,-3.21683655393425,0.000648062075500026,1,,41
null,0.1,debiased_test,6.35477789102744,1.04363961916931e-10,1,,41
null,0.1,bootstrap_MMD_test,,,1,,41
null,0.1,BlockMMD_test,2.03014939500474,0.0211706779569266,1,42,41
null,0.1,LinearMMD_test,0.55358887616486,0.289930120310683,0,,42
null,0.1,CLF_test,-1.12799712543352,0.870339433429986,0,,42
null,0.1,CP_test,-2.88528215259947,0.00195531502614643,1,,42
null,0.1,debiased_test,6.56061019097041,2.67940114540011e-11,1,,42
null,0.1,bootstrap_MMD_test,,,1,,42
null,0.1,BlockMMD_test,3.12857773562756,0.000878272703161098,1,42,42
null,0.1,LinearMMD_test,-0.148005493837689,0.55883078372934,0,,43
null,0.1,CLF_test,-1.49286356687917,0.932263548160757,0,,43
null,0.1,CP_test,-2.94834356150421,0.00159740895851239,1,,43
null,0.1,debiased_test,7.85662066387708,1.99840144432528e-15,1,,43
null,0.1,bootstrap_MMD_test,,,1,,43
null,0.1,BlockMMD_test,3.68824192705075,0.000112904449446449,1,42,43
null,0.1,LinearMMD_test,0.48477553363525,0.313917789886458,0,,44
null,0.1,CLF_test,0.449397594577723,0.326572433111808,0,,44
null,0.1,CP_test,-2.95695866013524,0.00155344884808733,1,,44
null,0.1,debiased_test,6.81322370249252,4.77173855983892e-12,1,,44
null,0.1,bootstrap_MMD_test,,,1,,44
null,0.1,BlockMMD_test,2.96938052532616,0.00149200412303285,1,42,44
null,0.1,LinearMMD_test,0.266021192120242,0.395111443973512,0,,45
null,0.1,CLF_test,-0.890888896299834,0.813505611125799,0,,45
null,0.1,CP_test,-1.78825900928143,0.0368671149326215,1,,45
null,0.1,debiased_test,7.385760242999,7.58282325818982e-14,1,,45
null,0.1,bootstrap_MMD_test,,,1,,45
null,0.1,BlockMMD_test,4.99697109404076,2.91188970269474e-07,1,42,45
null,0.1,LinearMMD_test,0.252848632354514,0.400192592617173,0,,46
null,0.1,CLF_test,-0.615598274302375,0.730920154739943,0,,46
null,0.1,CP_test,-2.60851272507235,0.00454683152908804,1,,46
null,0.1,debiased_test,6.46813303351577,4.96105378999801e-11,1,,46
null,0.1,bootstrap_MMD_test,,,1,,46
null,0.1,BlockMMD_test,2.82320349585194,0.00237731911539296,1,42,46
null,0.1,LinearMMD_test,0.332231794574187,0.36985711867806,0,,47
null,0.1,CLF_test,0.169198471848693,0.432820265874956,0,,47
null,0.1,CP_test,-2.76597728222773,0.00283762441395007,1,,47
null,0.1,debiased_test,6.82348758593732,4.44277947764249e-12,1,,47
null,0.1,bootstrap_MMD_test,,,1,,47
null,0.1,BlockMMD_test,5.08070555533856,1.88017794444662e-07,1,42,47
null,0.1,LinearMMD_test,1.44557320836413,0.0741484728475602,0,,48
null,0.1,CLF_test,2.12603043340423,0.0167503627925839,1,,48
null,0.1,CP_test,-3.9575018957051,3.78688433012113e-05,1,,48
null,0.1,debiased_test,6.70017117060813,1.04087849450707e-11,1,,48
null,0.1,bootstrap_MMD_test,,,1,,48
null,0.1,BlockMMD_test,3.86521043807613,5.54967298156406e-05,1,42,48
null,0.1,LinearMMD_test,1.50924081834819,0.065618626253624,0,,49
null,0.1,CLF_test,0.762494056194216,0.222882594638968,0,,49
null,0.1,CP_test,-3.1877955808437,0.000716809242753914,1,,49
null,0.1,debiased_test,6.58662144495249,2.24973373263992e-11,1,,49
null,0.1,bootstrap_MMD_test,,,1,,49
null,0.1,BlockMMD_test,4.84556346059848,6.31264233996731e-07,1,42,49
null,0.1,LinearMMD_test,0.387194095283867,0.349306260587439,0,,50
null,0.1,CLF_test,0.882195515621589,0.188835543285308,0,,50
null,0.1,CP_test,-3.88336539293266,5.15102872958279e-05,1,,50
null,0.1,debiased_test,7.36497063239443,8.85957973650875e-14,1,,50
null,0.1,bootstrap_MMD_test,,,1,,50
null,0.1,BlockMMD_test,5.2290564035807,8.51886921005018e-08,1,42,50
null,0.1,LinearMMD_test,0.436031827298953,0.331406818879419,0,,51
null,0.1,CLF_test,0.975411236072223,0.164678156181865,0,,51
null,0.1,CP_test,-3.28902645126544,0.000502672874712857,1,,51
null,0.1,debiased_test,6.65074957368455,1.45802259154948e-11,1,,51
null,0.1,bootstrap_MMD_test,,,1,,51
null,0.1,BlockMMD_test,4.59566963386865,2.15680845672139e-06,1,42,51
null,0.1,LinearMMD_test,-0.59995726813883,0.725732642759918,0,,52
null,0.1,CLF_test,0.135209538060191,0.446223103032671,0,,52
null,0.1,CP_test,-3.45692395730843,0.000273189502588276,1,,52
null,0.1,debiased_test,6.82492170427781,4.39870362356487e-12,1,,52
null,0.1,bootstrap_MMD_test,,,1,,52
null,0.1,BlockMMD_test,1.91693885268585,0.0276228501973457,1,42,52
null,0.1,LinearMMD_test,0.236901677235936,0.406366534388663,0,,53
null,0.1,CLF_test,1.49850854934659,0.0670005865376694,0,,53
null,0.1,CP_test,-3.63718904161971,0.00013781482050102,1,,53
null,0.1,debiased_test,7.16341228822277,3.93463039927156e-13,1,,53
null,0.1,bootstrap_MMD_test,,,1,,53
null,0.1,BlockMMD_test,3.93314310302719,4.19211443525303e-05,1,42,53
null,0.1,LinearMMD_test,2.09319612830969,0.0181658251153489,1,,54
null,0.1,CLF_test,-0.0480207997813435,0.519150167050134,0,,54
null,0.1,CP_test,-3.93553974104993,4.15049629583439e-05,1,,54
null,0.1,debiased_test,8.23036481922918,1.11022302462516e-16,1,,54
null,0.1,bootstrap_MMD_test,,,1,,54
null,0.1,BlockMMD_test,5.06959712302407,1.99329332151166e-07,1,42,54
null,0.1,LinearMMD_test,1.90250067147827,0.0285528655764646,1,,55
null,0.1,CLF_test,-0.352376571885066,0.637722065204375,0,,55
null,0.1,CP_test,-2.82507570222938,0.00236347232945475,1,,55
null,0.1,debiased_test,7.62704441111478,1.19904086659517e-14,1,,55
null,0.1,bootstrap_MMD_test,,,1,,55
null,0.1,BlockMMD_test,3.96447669369196,3.67785663044629e-05,1,42,55
null,0.1,LinearMMD_test,1.69022137487378,0.045492805271274,1,,56
null,0.1,CLF_test,1.17353450810173,0.120290763495628,0,,56
null,0.1,CP_test,-2.53012261028502,0.00570113367923249,1,,56
null,0.1,debiased_test,7.01929845611423,1.11488596132858e-12,1,,56
null,0.1,bootstrap_MMD_test,,,1,,56
null,0.1,BlockMMD_test,3.95062806217719,3.89731885108713e-05,1,42,56
null,0.1,LinearMMD_test,1.04762715408074,0.147405210849333,0,,57
null,0.1,CLF_test,0.0629933477463883,0.474885900765734,0,,57
null,0.1,CP_test,-2.03014921185149,0.0211706872626682,1,,57
null,0.1,debiased_test,6.64841513863164,1.48132617283636e-11,1,,57
null,0.1,bootstrap_MMD_test,,,1,,57
null,0.1,BlockMMD_test,4.34562755207591,6.94390209232676e-06,1,42,57
null,0.1,LinearMMD_test,1.18643465705832,0.117725345983552,0,,58
null,0.1,CLF_test,0.284628723064386,0.387964301620601,0,,58
null,0.1,CP_test,-3.21201175910238,0.000659044900409944,1,,58
null,0.1,debiased_test,6.74425272011688,7.69084795848585e-12,1,,58
null,0.1,bootstrap_MMD_test,,,1,,58
null,0.1,BlockMMD_test,2.6600575839107,0.00390636464486449,1,42,58
null,0.1,LinearMMD_test,0.417597834906609,0.338120590013993,0,,59
null,0.1,CLF_test,1.76522623882844,0.0387628752258733,1,,59
null,0.1,CP_test,-5.24784963701715,7.69424057091858e-08,1,,59
null,0.1,debiased_test,5.72123509501048,5.28762222895551e-09,1,,59
null,0.1,bootstrap_MMD_test,,,1,,59
null,0.1,BlockMMD_test,3.78705238921903,7.62224836275971e-05,1,42,59
null,0.1,LinearMMD_test,0.461559669142799,0.322198561112322,0,,60
null,0.1,CLF_test,0.303892642018857,0.380604841839859,0,,60
null,0.1,CP_test,-3.17630993111572,0.000745807491499763,1,,60
null,0.1,debiased_test,5.08068781984021,1.88035350512372e-07,1,,60
null,0.1,bootstrap_MMD_test,,,1,,60
null,0.1,BlockMMD_test,3.58102481941351,0.000171124568581593,1,42,60
null,0.1,LinearMMD_test,0.755758249000693,0.224897076580199,0,,61
null,0.1,CLF_test,-2.26099200546699,0.988120123940944,0,,61
null,0.1,CP_test,-2.82695512741818,0.0023496456199757,1,,61
null,0.1,debiased_test,6.07626715254176,6.15062001330102e-10,1,,61
null,0.1,bootstrap_MMD_test,,,1,,61
null,0.1,BlockMMD_test,4.10318757899052,2.03748299959505e-05,1,42,61
null,0.1,LinearMMD_test,1.91583644189055,0.0276929587986882,1,,62
null,0.1,CLF_test,0.441592192381625,0.329392167424752,0,,62
null,0.1,CP_test,-1.40839238592926,0.0795074562909075,0,,62
null,0.1,debiased_test,6.6330619014517,1.64397384594395e-11,1,,62
null,0.1,bootstrap_MMD_test,,,1,,62
null,0.1,BlockMMD_test,3.94067620180603,4.06261210300629e-05,1,42,62
null,0.1,LinearMMD_test,0.83271104375514,0.202503857269205,0,,63
null,0.1,CLF_test,-1.47201819826803,0.929492018313818,0,,63
null,0.1,CP_test,-2.64111844756029,0.00413164122016416,1,,63
null,0.1,debiased_test,7.03963685904959,9.63673585374636e-13,1,,63
null,0.1,bootstrap_MMD_test,,,1,,63
null,0.1,BlockMMD_test,2.79284674697422,0.00261232190936567,1,42,63
null,0.1,LinearMMD_test,-1.01502204543464,0.844952340529289,0,,64
null,0.1,CLF_test,0.419826464118412,0.337306115337845,0,,64
null,0.1,CP_test,-3.08488349627141,0.0010181595048698,1,,64
null,0.1,debiased_test,6.05631836841436,6.96361190932748e-10,1,,64
null,0.1,bootstrap_MMD_test,,,1,,64
null,0.1,BlockMMD_test,4.73946828391828,1.07139885396901e-06,1,42,64
null,0.1,LinearMMD_test,0.628465564208267,0.264849499168543,0,,65
null,0.1,CLF_test,-0.711201860838248,0.76152042218463,0,,65
null,0.1,CP_test,-4.38194393745143,5.88125399432005e-06,1,,65
null,0.1,debiased_test,6.98991947067386,1.37523326060318e-12,1,,65
null,0.1,bootstrap_MMD_test,,,1,,65
null,0.1,BlockMMD_test,3.96684159557917,3.64156813819072e-05,1,42,65
null,0.1,LinearMMD_test,-0.0798722124872377,0.531830554787381,0,,66
null,0.1,CLF_test,0.502957245996204,0.307497165814174,0,,66
null,0.1,CP_test,-2.38195543881977,0.00861049059427484,1,,66
null,0.1,debiased_test,5.15758756409443,1.25075937496e-07,1,,66
null,0.1,bootstrap_MMD_test,,,1,,66
null,0.1,BlockMMD_test,3.12685093069898,0.000883447459226416,1,42,66
null,0.1,LinearMMD_test,1.8451203789546,0.032510014676559,1,,67
null,0.1,CLF_test,-0.68307714003728,0.752720950198106,0,,67
null,0.1,CP_test,-2.3815295457422,0.00862045382287293,1,,67
null,0.1,debiased_test,8.42991732002731,0,1,,67
null,0.1,bootstrap_MMD_test,,,1,,67
null,0.1,BlockMMD_test,4.69734085112986,1.3178520370527e-06,1,42,67
null,0.1,LinearMMD_test,0.419252918274632,0.337515650706549,0,,68
null,0.1,CLF_test,1.21800830631566,0.111610408132119,0,,68
null,0.1,CP_test,-1.81380150993358,0.0348541449879161,1,,68
null,0.1,debiased_test,5.69945663168904,6.00949467965961e-09,1,,68
null,0.1,bootstrap_MMD_test,,,1,,68
